PG&E Green Button-style demonstration data,,,,,,,
This is synthetic data and is not a customer bill.,,,,,,,
TYPE,DATE,START TIME,END TIME,USAGE,UNITS,COST,NOTES
Electric usage,07/06/2026,00:00,01:00,0.28,kWh,,synthetic
Electric usage,07/06/2026,01:00,02:00,0.24,kWh,,synthetic
Electric usage,07/06/2026,02:00,03:00,0.22,kWh,,synthetic
Electric usage,07/06/2026,03:00,04:00,0.21,kWh,,synthetic
Electric usage,07/06/2026,04:00,05:00,0.22,kWh,,synthetic
Electric usage,07/06/2026,05:00,06:00,0.30,kWh,,synthetic
Electric usage,07/06/2026,06:00,07:00,0.48,kWh,,synthetic
Electric usage,07/06/2026,07:00,08:00,0.62,kWh,,synthetic
Electric usage,07/06/2026,08:00,09:00,0.44,kWh,,synthetic
Electric usage,07/06/2026,09:00,10:00,0.35,kWh,,synthetic
Electric usage,07/06/2026,10:00,11:00,0.32,kWh,,synthetic
Electric usage,07/06/2026,11:00,12:00,0.31,kWh,,synthetic
Electric usage,07/06/2026,12:00,13:00,0.36,kWh,,synthetic
Electric usage,07/06/2026,13:00,14:00,0.41,kWh,,synthetic
Electric usage,07/06/2026,14:00,15:00,0.55,kWh,,synthetic
Electric usage,07/06/2026,15:00,16:00,0.72,kWh,,synthetic
Electric usage,07/06/2026,16:00,17:00,0.88,kWh,,synthetic
Electric usage,07/06/2026,17:00,18:00,1.15,kWh,,synthetic
Electric usage,07/06/2026,18:00,19:00,1.34,kWh,,synthetic
Electric usage,07/06/2026,19:00,20:00,1.18,kWh,,synthetic
Electric usage,07/06/2026,20:00,21:00,0.92,kWh,,synthetic
Electric usage,07/06/2026,21:00,22:00,0.61,kWh,,synthetic
Electric usage,07/06/2026,22:00,23:00,0.43,kWh,,synthetic
Electric usage,07/06/2026,23:00,00:00,0.33,kWh,,synthetic
